Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom

Title,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,2025 JIF,JIF Rank
Cyborg and Bionic Systems,CYBORG BIONIC SYST,AMER ASSOC ADVANCEMENT SCIENCE,N/A,2692-7632,Multiple,SCIE,20.9,4/130
Science Bulletin,SCI BULL,ELSEVIER,2095-9273,2095-9281,MULTIDISCIPLINARY SCIENCES,SCIE,20.7,6/140
CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,AMER SOC MICROBIOLOGY,0893-8512,1098-6618,MICROBIOLOGY,SCIE,20.7,5/167
Nature Geoscience,NAT GEOSCI,NATURE PORTFOLIO,1752-0894,1752-0908,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,20.6,2/259
Lancet Planetary Health,LANCET PLANET HEALTH,ELSEVIER SCI LTD,N/A,2542-5196,Multiple,SCIE,20.5,7/395
Lancet Healthy Longevity,LANCET HEALTH LONGEV,ELSEVIER,2666-7568,2666-7568,GERIATRICS & GERONTOLOGY,SCIE,20.5,2/72
Nano Materials Science,NANO MATER SCI,KEAI PUBLISHING LTD,2096-6482,2589-9651,Multiple,ESCI,20.5,21/472
Lancet Haematology,LANCET HAEMATOL,ELSEVIER SCI LTD,2352-3026,N/A,HEMATOLOGY,SCIE,20.4,3/103
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,IEEE COMPUTER SOC,0162-8828,1939-3539,Multiple,SCIE,20.4,4/210
EnergyChem,ENERGYCHEM,ELSEVIER,2589-7780,2589-7780,Multiple,ESCI,20.4,10/250
NATURE NEUROSCIENCE,NAT NEUROSCI,NATURE PORTFOLIO,1097-6256,1546-1726,NEUROSCIENCES,SCIE,20.3,3/330
SEMINARS IN CANCER BIOLOGY,SEMIN CANCER BIOL,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,1044-579X,1096-3650,ONCOLOGY,SCIE,20.3,18/333
Nature Computational Science,NAT COMPUT SCI,SPRINGERNATURE,N/A,2662-8457,Multiple,SCIE,20.3,3/185
Annual Review of Physiology,ANNU REV PHYSIOL,ANNUAL REVIEWS,0066-4278,1545-1585,PHYSIOLOGY,SCIE,20.3,2/89
TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,CELL PRESS,1364-6613,1879-307X,Multiple,SCIE,20.3,1/57
PHARMACOLOGICAL REVIEWS,PHARMACOL REV,ELSEVIER,0031-6997,1521-0081,PHARMACOLOGY & PHARMACY,SCIE,20.3,5/356
HUMAN REPRODUCTION UPDATE,HUM REPROD UPDATE,OXFORD UNIV PRESS,1355-4786,1460-2369,Multiple,SCIE,20.1,1/143
Bone Research,BONE RES,SPRINGERNATURE,2095-4700,2095-6231,CELL & TISSUE ENGINEERING,SCIE,20.1,2/32
Radiology-Artificial Intelligence,RADIOL-ARTIF INTELL,RADIOLOGICAL SOC NORTH AMERICA (RSNA),2638-6100,2638-6100,Multiple,SCIE,20.1,5/210
ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,SPRINGER,0935-4956,1432-0754,ASTRONOMY & ASTROPHYSICS,SCIE,20.1,3/86
TRENDS IN ENDOCRINOLOGY AND METABOLISM,TRENDS ENDOCRIN MET,CELL PRESS,1043-2760,1879-3061,ENDOCRINOLOGY & METABOLISM,SCIE,20.1,7/198
Mycosphere,MYCOSPHERE,Maximum Academic Press,2077-7000,2077-7019,MYCOLOGY,SCIE,19.9,2/33
Journal of Bioresources and Bioproducts,J BIORESOUR BIOPROD,KEAI PUBLISHING LTD,2097-2415,2369-9698,"MATERIALS SCIENCE, PAPER & WOOD",SCIE,19.9,1/24
PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,AMER PSYCHOLOGICAL ASSOC,0033-2909,1939-1455,Multiple,SCIE,19.9,2/93
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,WILEY-V C H VERLAG GMBH,1616-301X,1616-3028,Multiple,SCIE,19.9,11/250
Applied Catalysis B-Environment and Energy,APPL CATAL B-ENVIRON,ELSEVIER,0926-3373,1873-3883,Multiple,SCIE,19.7,11/191
Molecular Neurodegeneration,MOL NEURODEGENER,BMC,N/A,1750-1326,NEUROSCIENCES,SCIE,19.6,5/330
InfoMat,INFOMAT,WILEY,N/A,2567-3165,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,19.6,24/472
Advanced Photonics,ADV PHOTONICS,SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS,N/A,2577-5421,OPTICS,SCIE,19.5,7/129
Energy Storage Materials,ENERGY STORAGE MATER,ELSEVIER,2405-8297,2405-8289,Multiple,SCIE,19.3,12/191
SusMat,SUSMAT,WILEY,2766-8479,2692-4552,Multiple,SCIE,19.2,12/250
Journal of Nanostructure in Chemistry,J NANOSTRUCTURE CHEM,OICC Press,2008-9244,2193-8865,Multiple,SCIE,19.2,12/250
Translational Neurodegeneration,TRANSL NEURODEGENER,BMC,2047-9158,2047-9158,NEUROSCIENCES,SCIE,19.1,6/330
Chem,CHEM-US,CELL PRESS,2451-9294,2451-9294,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,19.1,14/250
Applied Mechanics Reviews,APPL MECH REV,ASME,0003-6900,2379-0407,MECHANICS,SCIE,19.1,2/172
JACC-Cardiovascular Imaging,JACC-CARDIOVASC IMAG,ELSEVIER SCIENCE INC,1936-878X,1876-7591,Multiple,SCIE,19.0,5/237
Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,ANNUAL REVIEWS,0362-1642,1545-4304,Multiple,SCIE,19.0,6/356
Annual Review of Medicine,ANNU REV MED,ANNUAL REVIEWS,0066-4219,1545-326X,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,18.8,2/191
ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV,SPRINGER,0269-2821,1573-7462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",SCIE,18.8,6/210
Nature Microbiology,NAT MICROBIOL,NATURE PORTFOLIO,2058-5276,2058-5276,MICROBIOLOGY,SCIE,18.7,6/167
eTransportation,ETRANSPORTATION,ELSEVIER,2590-1168,2590-1168,Multiple,SCIE,18.7,9/191
TRENDS IN MICROBIOLOGY,TRENDS MICROBIOL,CELL PRESS,0966-842X,1878-4380,Multiple,SCIE,18.7,7/328
Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,ANNUAL REVIEWS,1548-5943,1548-5951,Multiple,SCIE,18.6,3/93
Autophagy,AUTOPHAGY,TAYLOR & FRANCIS INC,1554-8627,1554-8635,CELL BIOLOGY,SCIE,18.6,13/207
Nature Protocols,NAT PROTOC,NATURE PORTFOLIO,1754-2189,1750-2799,BIOCHEMICAL RESEARCH METHODS,SCIE,18.4,2/85
Advanced Industrial and Engineering Polymer Research,ADV IND ENG POLY RES,KEAI PUBLISHING LTD,2542-5048,2542-5048,Multiple,ESCI,18.4,1/35
STUDIES IN MYCOLOGY,STUD MYCOL,WESTERDIJK FUNGAL BIODIVERSITY INST,0166-0616,1872-9797,MYCOLOGY,SCIE,18.3,3/33
IEEE-CAA Journal of Automatica Sinica,IEEE-CAA J AUTOMATIC,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2329-9266,2329-9274,AUTOMATION & CONTROL SYSTEMS,SCIE,18.3,1/88
Advances in Applied Energy,ADV APPL ENERGY,ELSEVIER,2666-7924,2666-7924,ENERGY & FUELS,ESCI,18.3,10/191
Protein & Cell,PROTEIN CELL,OXFORD UNIV PRESS,1674-800X,1674-8018,CELL BIOLOGY,SCIE,18.2,14/207
Nature Communications,NAT COMMUN,NATURE PORTFOLIO,N/A,2041-1723,MULTIDISCIPLINARY SCIENCES,SCIE,18.1,8/140
National Science Review,NATL SCI REV,OXFORD UNIV PRESS,2095-5138,2053-714X,MULTIDISCIPLINARY SCIENCES,SCIE,18.1,8/140
PROGRESS IN LIPID RESEARCH,PROG LIPID RES,PERGAMON-ELSEVIER SCIENCE LTD,0163-7827,1873-2194,Multiple,SCIE,18.1,8/328
TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,CELL PRESS,1471-4914,1471-499X,Multiple,SCIE,18.1,8/328
Nature Physics,NAT PHYS,NATURE PORTFOLIO,1745-2473,1745-2481,"PHYSICS, MULTIDISCIPLINARY",SCIE,18.0,4/112
JAMA Psychiatry,JAMA PSYCHIAT,AMER MEDICAL ASSOC,2168-622X,2168-6238,PSYCHIATRY,"SCIE, SSCI",18.0,3/293
PhotoniX,PHOTONIX,SPRINGERNATURE,N/A,2662-1991,OPTICS,SCIE,18.0,8/129
CIRCULATION RESEARCH,CIRC RES,LIPPINCOTT WILLIAMS & WILKINS,0009-7330,1524-4571,Multiple,SCIE,18.0,6/237
npj Digital Medicine,NPJ DIGIT MED,NATURE PORTFOLIO,2398-6352,2398-6352,Multiple,SCIE,18.0,1/194
Academy of Management Annals,ACAD MANAG ANN,ACAD MANAGEMENT,1941-6520,1941-6067,Multiple,SSCI,18.0,1/323
HEPATOLOGY,HEPATOLOGY,LIPPINCOTT WILLIAMS & WILKINS,0270-9139,1527-3350,GASTROENTEROLOGY & HEPATOLOGY,SCIE,18.0,7/153
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,RENEW SUST ENERG REV,PERGAMON-ELSEVIER SCIENCE LTD,1364-0321,1879-0690,Multiple,SCIE,18.0,11/191
ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,AMER CHEMICAL SOC,0001-4842,1520-4898,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,18.0,15/250
Smart Learning Environments,SMART LEARN ENVIRON,SPRINGER HEIDELBERG,N/A,2196-7091,EDUCATION & EDUCATIONAL RESEARCH,SSCI,17.9,3/760
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,CELL PRESS,0169-5347,1872-8383,Multiple,SCIE,17.9,1/205
PERIODONTOLOGY 2000,PERIODONTOL 2000,WILEY,0906-6713,1600-0757,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,17.8,1/165
Psychological Science in the Public Interest,PSYCHOL SCI PUBL INT,SAGE PUBLICATIONS LTD,1529-1006,2160-0031,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,17.6,4/222
AMERICAN JOURNAL OF BIOETHICS,AM J BIOETHICS,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1526-5161,1536-0075,Multiple,SSCI,17.6,1/78
International Journal of Oral Science,INT J ORAL SCI,SPRINGERNATURE,1674-2818,2049-3169,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,17.6,2/165
RADIOLOGY,RADIOLOGY,RADIOLOGICAL SOC NORTH AMERICA (RSNA),0033-8419,1527-1315,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,17.6,3/217
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,WILEY-V C H VERLAG GMBH,1433-7851,1521-3773,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,17.6,16/250
Nature Human Behaviour,NAT HUM BEHAV,NATURE PORTFOLIO,2397-3374,2397-3374,Multiple,SCIE,17.5,10/140
Journal of the National Comprehensive Cancer Network,J NATL COMPR CANC NE,HARBORSIDE PRESS,1540-1405,1540-1413,ONCOLOGY,SCIE,17.5,19/333
ACS Energy Letters,ACS ENERGY LETT,AMER CHEMICAL SOC,2380-8195,2380-8195,Multiple,SCIE,17.5,13/191
Experimental Hematology & Oncology,EXP HEMATOL ONCOL,BMC,N/A,2162-3619,Multiple,SCIE,17.5,5/103
EXPERIMENTAL AND MOLECULAR MEDICINE,EXP MOL MED,SPRINGERNATURE,1226-3613,2092-6413,Multiple,SCIE,17.5,10/328
Computer Science Review,COMPUT SCI REV,ELSEVIER,1574-0137,1876-7745,Multiple,SCIE,17.5,2/266
Information Fusion,INFORM FUSION,ELSEVIER,1566-2535,1872-6305,Multiple,SCIE,17.4,7/210
TRENDS IN FOOD SCIENCE & TECHNOLOGY,TRENDS FOOD SCI TECH,ELSEVIER SCIENCE LONDON,0924-2244,1879-3053,FOOD SCIENCE & TECHNOLOGY,SCIE,17.4,2/187
Energy Material Advances,ENERGY MATER ADV,AMER ASSOC ADVANCEMENT SCIENCE,2097-1133,2692-7640,"PHYSICS, APPLIED",ESCI,17.4,10/191
ACS Nano,ACS NANO,AMER CHEMICAL SOC,1936-0851,1936-086X,Multiple,SCIE,17.3,17/250
ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,AMER COLL PHYSICIANS,0003-4819,1539-3704,"MEDICINE, GENERAL & INTERNAL",SCIE,17.2,9/336
Annual Review of Public Health,ANNU REV PUBL HEALTH,ANNUAL REVIEWS,0163-7525,1545-2093,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI",17.2,6/443
Chinese Journal of Catalysis,CHINESE J CATAL,ELSEVIER,0253-9837,1872-2067,Multiple,SCIE,17.2,1/77
BMEMat,BMEMAT,WILEY,2751-7438,2751-7446,Multiple,ESCI,17.2,3/58
JAMA Pediatrics,JAMA PEDIATR,AMER MEDICAL ASSOC,2168-6203,2168-6211,PEDIATRICS,SCIE,17.1,1/190
Nature Ecology & Evolution,NAT ECOL EVOL,NATURE PORTFOLIO,2397-334X,2397-334X,Multiple,SCIE,17.1,2/205
Journal of Advanced Research,J ADV RES,ELSEVIER,2090-1232,2090-1224,MULTIDISCIPLINARY SCIENCES,SCIE,17.1,11/140
Current Obesity Reports,CURR OBES REP,SPRINGER,2162-4968,2162-4968,Multiple,SCIE,17.0,8/198
INTERNATIONAL MATERIALS REVIEWS,INT MATER REV,SAGE PUBLICATIONS INC,0950-6608,1743-2804,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,17.0,31/472
Neuron,NEURON,CELL PRESS,0896-6273,1097-4199,NEUROSCIENCES,SCIE,16.9,8/330
Annual Review of Entomology,ANNU REV ENTOMOL,ANNUAL REVIEWS,0066-4170,1545-4487,ENTOMOLOGY,SCIE,16.9,1/110
Cell Discovery,CELL DISCOV,SPRINGERNATURE,N/A,2056-5968,CELL BIOLOGY,SCIE,16.9,16/207
FEMS MICROBIOLOGY REVIEWS,FEMS MICROBIOL REV,OXFORD UNIV PRESS,0168-6445,1574-6976,MICROBIOLOGY,SCIE,16.9,8/167
Physical Review X,PHYS REV X,AMER PHYSICAL SOC,2160-3308,2160-3308,"PHYSICS, MULTIDISCIPLINARY",SCIE,16.8,5/112
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,IEEE J SEL AREA COMM,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,0733-8716,1558-0008,Multiple,SCIE,16.8,6/369
Journal of Materials Science & Technology,J MATER SCI TECHNOL,ELSEVIER,1005-0302,1941-1162,Multiple,SCIE,16.8,32/472
Smart Molecules,SMART MOL,WILEY,2751-4587,2751-4595,"CHEMISTRY, MULTIDISCIPLINARY",ESCI,16.8,18/250
METABOLISM-CLINICAL AND EXPERIMENTAL,METABOLISM,W B SAUNDERS CO-ELSEVIER INC,0026-0495,1532-8600,ENDOCRINOLOGY & METABOLISM,SCIE,16.7,9/198
Nano Energy,NANO ENERGY,ELSEVIER,2211-2855,2211-3282,Multiple,SCIE,16.7,16/191
Green Energy & Environment,GREEN ENERGY ENVIRON,KEAI PUBLISHING LTD,2096-2797,2468-0257,Multiple,SCIE,16.7,16/191
Journal of the American Chemical Society,J AM CHEM SOC,AMER CHEMICAL SOC,0002-7863,1520-5126,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,16.6,19/250
TRENDS IN BIOTECHNOLOGY,TRENDS BIOTECHNOL,CELL PRESS,0167-7799,1879-3096,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,16.6,3/180
Energy Reviews,ENERGY REV-PRC,ELSEVIER,N/A,2772-9702,Multiple,ESCI,16.5,14/191
Science Immunology,SCI IMMUNOL,AMER ASSOC ADVANCEMENT SCIENCE,2470-9468,2470-9468,IMMUNOLOGY,SCIE,16.4,6/183
Biomedical Technology,BIOMED TECHNOL-PRC,KEAI PUBLISHING LTD,N/A,2949-723X,Multiple,ESCI,16.4,5/130
Annual Review of Environment and Resources,ANNU REV ENV RESOUR,ANNUAL REVIEWS,1543-5938,1545-2050,Multiple,SCIE,16.3,8/395
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBID MORTAL W,CENTERS DISEASE CONTROL & PREVENTION,0149-2195,1545-861X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,16.2,7/443
PROGRESS IN RETINAL AND EYE RESEARCH,PROG RETIN EYE RES,PERGAMON-ELSEVIER SCIENCE LTD,1350-9462,1873-1635,OPHTHALMOLOGY,SCIE,16.2,1/98
Redox Biology,REDOX BIOL,ELSEVIER,2213-2317,2213-2317,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,16.2,11/328
Clinical Gastroenterology and Hepatology,CLIN GASTROENTEROL H,ELSEVIER SCIENCE INC,1542-3565,1542-7714,GASTROENTEROLOGY & HEPATOLOGY,SCIE,16.2,8/153
Materials Reports: Energy,MATER REP-ENERGY,KEAI PUBLISHING LTD,N/A,2666-9358,Multiple,ESCI,16.2,20/250
Artificial Intelligence in Agriculture,ARTIF INTELL AGR,KEAI PUBLISHING LTD,2097-2113,2589-7217,Multiple,SCIE,16.1,1/95
Molecular Cell,MOL CELL,CELL PRESS,1097-2765,1097-4164,Multiple,SCIE,16.0,12/328
IEEE Reviews in Biomedical Engineering,IEEE REV BIOMED ENG,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1937-3333,1941-1189,"ENGINEERING, BIOMEDICAL",SCIE,16.0,6/130
International Journal of Mining Science and Technology,INT J MIN SCI TECHNO,ELSEVIER,2095-2686,2212-6066,MINING & MINERAL PROCESSING,SCIE,15.9,1/35
AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,"AMER PSYCHIATRIC PUBLISHING, INC",0002-953X,1535-7228,PSYCHIATRY,"SCIE, SSCI",15.9,4/293
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1089-778X,1941-0026,Multiple,SCIE,15.9,9/210
Biogeotechnics,BIOGEOTECHNICS,KEAI PUBLISHING LTD,N/A,2949-9291,"ENGINEERING, GEOLOGICAL",ESCI,15.9,1/68
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,PROG PART NUCL PHYS,ELSEVIER,0146-6410,1873-2224,Multiple,SCIE,15.9,1/22
Soft Science,SOFT SCI-US,OAE PUBLISHING INC,N/A,2769-5441,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,15.9,36/472
Nature Chemical Biology,NAT CHEM BIOL,NATURE PORTFOLIO,1552-4450,1552-4469,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,15.8,13/328
Journal of Magnesium and Alloys,J MAGNES ALLOY,KEAI PUBLISHING LTD,2213-9567,2213-9567,Multiple,SCIE,15.8,37/472
Lancet Regional Health-Europe,LANCET REG HEALTH-EU,ELSEVIER,2666-7762,2666-7762,Multiple,SCIE,15.7,2/194
Matter,MATTER-US,CELL PRESS,2590-2393,2590-2385,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,15.7,38/472
TRENDS IN NEUROSCIENCES,TRENDS NEUROSCI,CELL PRESS,0166-2236,1878-108X,NEUROSCIENCES,SCIE,15.7,9/330
Industrial Chemistry & Materials,IND CHEM MATER,ROYAL SOC CHEMISTRY,2755-2608,2755-2500,Multiple,ESCI,15.7,8/183
JAMA Surgery,JAMA SURG,AMER MEDICAL ASSOC,2168-6254,2168-6262,SURGERY,SCIE,15.6,1/321
Cardiovascular Diabetology,CARDIOVASC DIABETOL,BMC,N/A,1475-2840,Multiple,SCIE,15.6,7/237
Science Translational Medicine,SCI TRANSL MED,AMER ASSOC ADVANCEMENT SCIENCE,1946-6234,1946-6242,Multiple,SCIE,15.6,18/207
Journal of Energy Chemistry,J ENERGY CHEM,ELSEVIER,2095-4956,2095-4956,Multiple,SCIE,15.6,2/77
Annual Review of Earth and Planetary Sciences,ANNU REV EARTH PL SC,ANNUAL REVIEWS,0084-6597,1545-4495,Multiple,SCIE,15.6,4/86
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,COMPR REV FOOD SCI F,WILEY,1541-4337,1541-4337,FOOD SCIENCE & TECHNOLOGY,SCIE,15.6,3/187
BRITISH JOURNAL OF SPORTS MEDICINE,BRIT J SPORT MED,BMJ PUBLISHING GROUP,0306-3674,1473-0480,SPORT SCIENCES,SCIE,15.5,1/136
JACC: CardioOncology,JACC-CARDIOONCOL,ELSEVIER,2666-0873,2666-0873,Multiple,SCIE,15.5,8/237
Advanced Composites and Hybrid Materials,ADV COMPOS HYBRID MA,SPRINGERNATURE,2522-0128,2522-0136,Multiple,SCIE,15.5,2/35
One Earth,ONE EARTH,CELL PRESS,2590-3330,2590-3322,Multiple,SCIE,15.5,9/395
AGEING RESEARCH REVIEWS,AGEING RES REV,ELSEVIER IRELAND LTD,1568-1637,1872-9649,Multiple,SCIE,15.5,19/207
INTERNATIONAL JOURNAL OF PLASTICITY,INT J PLASTICITY,PERGAMON-ELSEVIER SCIENCE LTD,0749-6419,1879-2154,Multiple,SCIE,15.4,3/184
npj Flexible Electronics,NPJ FLEX ELECTRON,NATURE PORTFOLIO,N/A,2397-4621,Multiple,SCIE,15.4,7/369
REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,IOP Publishing Ltd,0034-4885,1361-6633,"PHYSICS, MULTIDISCIPLINARY",SCIE,15.4,6/112
Annual Review of Food Science and Technology,ANNU REV FOOD SCI T,ANNUAL REVIEWS,1941-1413,1941-1421,FOOD SCIENCE & TECHNOLOGY,SCIE,15.4,4/187
International Journal of Network Dynamics and Intelligence,INT J NETW DYN INTEL,Scilight Press Pty Ltd,N/A,2653-6226,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ESCI,15.3,3/266
Gut Microbes,GUT MICROBES,TAYLOR & FRANCIS INC,1949-0976,1949-0984,Multiple,SCIE,15.3,9/153
Nature Cities,NAT CITIES,SPRINGERNATURE,N/A,2731-9997,Multiple,ESCI,15.3,10/395
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1057-7149,1941-0042,Multiple,SCIE,15.3,10/210
NEW ASTRONOMY REVIEWS,NEW ASTRON REV,ELSEVIER SCI LTD,1387-6473,1872-9630,ASTRONOMY & ASTROPHYSICS,SCIE,15.2,5/86
JAMA Cardiology,JAMA CARDIOL,AMER MEDICAL ASSOC,2380-6583,2380-6591,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,15.2,9/237
Nature Astronomy,NAT ASTRON,NATURE PORTFOLIO,2397-3366,2397-3366,ASTRONOMY & ASTROPHYSICS,SCIE,15.2,5/86
Electron,ELECTRON-PRC,WILEY,2751-2606,2751-2614,Multiple,ESCI,15.2,21/250
Biochar,BIOCHAR,SPRINGER SINGAPORE PTE LTD,2524-7972,2524-7867,Multiple,SCIE,15.1,11/395
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,REV ENVIRON SCI BIO,SPRINGER,1569-1705,1572-9826,Multiple,SCIE,15.1,4/180
Nature Plants,NAT PLANTS,NATURE PORTFOLIO,2055-026X,2055-0278,PLANT SCIENCES,SCIE,15.0,4/285
NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,OXFORD UNIV PRESS,0305-1048,1362-4962,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,15.0,14/328
JOURNAL OF NANOBIOTECHNOLOGY,J NANOBIOTECHNOL,BMC,N/A,1477-3155,Multiple,SCIE,15.0,5/180
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,WIRES DATA MIN KNOWL,WILEY,1942-4787,1942-4795,Multiple,SCIE,15.0,11/210
Microbiome,MICROBIOME,BMC,2049-2618,2049-2618,MICROBIOLOGY,SCIE,14.9,10/167
Theranostics,THERANOSTICS,IVYSPRING INT PUBL,1838-7640,1838-7640,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,14.9,6/191
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,ELSEVIER SCI LTD,0278-6125,1878-6642,Multiple,SCIE,14.9,1/69
DRUGS,DRUGS,ADIS INT LTD,0012-6667,1179-1950,Multiple,SCIE,14.7,7/356
Foundations and Trends in Computer Graphics and Vision,FOUND TRENDS COMPUT,NOW PUBLISHERS INC,1572-2740,1572-2759,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,14.7,4/185
ACS Measurement Science Au,ACS MEAS SCI AU,AMER CHEMICAL SOC,N/A,2694-250X,"CHEMISTRY, ANALYTICAL",ESCI,14.7,1/110
Advances in Methods and Practices in Psychological Science,ADV METH PRACT PSYCH,SAGE PUBLICATIONS INC,2515-2459,2515-2467,Multiple,SCIE,14.6,4/93
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,PERS SOC PSYCHOL REV,SAGE PUBLICATIONS INC,1088-8683,1532-7957,"PSYCHOLOGY, SOCIAL",SSCI,14.6,1/77
Acta Pharmaceutica Sinica B,ACTA PHARM SIN B,"INST MATERIA MEDICA, CHINESE ACAD MEDICAL SCIENCES",2211-3835,2211-3843,PHARMACOLOGY & PHARMACY,SCIE,14.6,8/356
Lancet HIV,LANCET HIV,ELSEVIER INC,2352-3018,2352-3018,Multiple,SCIE,14.6,7/183
Biomarker Research,BIOMARK RES,BMC,N/A,2050-7771,Multiple,SCIE,14.6,7/191
Genes & Diseases,GENES DIS,KEAI PUBLISHING LTD,2352-4820,2352-3042,Multiple,SCIE,14.6,15/328
Annual Review of Control Robotics and Autonomous Systems,ANNU REV CONTR ROBOT,ANNUAL REVIEWS,N/A,2573-5144,Multiple,SCIE,14.6,2/88
PHYSIOLOGY,PHYSIOLOGY,AMER PHYSIOLOGICAL SOC,1548-9213,1548-9221,PHYSIOLOGY,SCIE,14.6,3/89
Annual Review of Materials Research,ANNU REV MATER RES,ANNUAL REVIEWS,1531-7331,1545-4118,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,14.6,43/472
Tourism Management,TOURISM MANAGE,ELSEVIER SCI LTD,0261-5177,1879-3193,Multiple,SSCI,14.5,5/202
Interdisciplinary Medicine,INTERD MED,WILEY-V C H VERLAG GMBH,2832-6237,2832-6245,"MEDICINE, RESEARCH & EXPERIMENTAL",ESCI,14.5,8/191
JOURNAL OF BIOMEDICAL SCIENCE,J BIOMED SCI,BMC,1021-7770,1423-0127,Multiple,SCIE,14.5,20/207
Aggregate,AGGREGATE,WILEY,N/A,2692-4560,Multiple,ESCI,14.5,22/250
CEMENT & CONCRETE COMPOSITES,CEMENT CONCRETE COMP,ELSEVIER SCI LTD,0958-9465,1873-393X,Multiple,SCIE,14.4,1/104
TRENDS IN BIOCHEMICAL SCIENCES,TRENDS BIOCHEM SCI,CELL PRESS,0968-0004,1362-4326,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,14.4,16/328
ANNUAL REVIEWS IN CONTROL,ANNU REV CONTROL,PERGAMON-ELSEVIER SCIENCE LTD,1367-5788,1872-9088,AUTOMATION & CONTROL SYSTEMS,SCIE,14.4,3/88
